poi_id,category,name,long,lat
478,Petrol_station,Petronas Kota Sarang Semut,100.3978910000,5.9803750000
2046,Maxis,Maxis @ Johor - I-Centre @ JB Danga Bay,103.7178130000,1.4848970000
16398,Amusement_park,Ayer Keroh Extreme Motorsport Park,102.2973380000,2.2759100000
13103,Hotel,Shanghai Hotel,101.0864890000,4.5946090000
10549,Restaurant,Sassorosso,101.7139720000,3.1634120000
13858,Hotel,Kang Travellers Hotel,101.3768160000,4.4705940000
11229,Restaurant,Selera Kampung,113.0469050000,3.1870810000
5457,Convenience_store,7-11 Sg Ara,100.2715990000,5.3249210000
4866,Petrol_station,Caltex Changkat Kruing,100.6894300000,4.3783830000
4731,Petrol_station,Caltex Gemas,102.6127400000,2.5813150000
13176,Hotel,Kawan Hotel,111.8336310000,2.2846310000
11512,Restaurant,Jolly Roger Restaurant,115.2466950000,5.2929000000
11790,Restaurant,Nandos@Juru Auto City,100.4287130000,5.3375760000
3352,Petrol_station,Shell,103.8043430000,1.4920630000
9022,Bank,Bank Islam @ Persiaran Sultan Abdul Hamid,100.3618880000,6.1113470000
16706,Pet_store,NEXUS BIRD SHOP,101.6729753000,3.2149420000
16004,Cafe,Monte Carlo 3 Tea Counter,101.7906750000,3.4242510000
17278,Pet_store,U R My Pet House Sdn. Bhd.,101.8026370000,2.9887050000
14938,Hotel,Hotel City Star,118.1178330000,5.8405180000
4975,Petrol_station,Bhpetrol Taman Pertama,101.7303740000,3.1102060000
10048,Bank,RHB,100.1988300000,6.4406900000
13412,Hotel,Hotel D99,102.5699190000,2.0491370000
9391,Bank,Maybank,101.7933740000,2.8128910000
7361,Convenience_store,Giant Supermarket Kuantan Megamall,103.3303200000,3.8159070000
5521,Convenience_store,"7-eleven @ Taman Mewah, Kamunting",100.7161550000,4.8934920000
5269,Convenience_store,7-Eleven,101.4435500000,3.0150500000
15341,Cafe,Chop Eastern Cafe,111.5191870000,2.1324050000
2771,Petrol_station,Shell,101.6231990000,3.1098920000
15060,Cafe,Machang Kopitiam,102.2150150000,5.7723020000
6998,Convenience_store,Econsave Farlim,100.2762580000,5.3859040000
1974,Maxis,Maxis Exclusive Partner Sungai Siput,101.0762100000,4.8174590000
7357,Convenience_store,Giant Star Wahing Tayar & Trading,101.9835440000,2.7029080000
7597,Pharmacy,Guardian,101.6001600000,3.1050400000
12797,Hotel,Monaco Hotel,117.9147870000,4.2824570000
10455,Bank,Maybank,118.1185410000,5.8400590000
17052,Pet_store,Kuantan Marine Fish,103.2975120000,3.8158150000
2361,Celcom,Celcom (M) Bhd. (Bukit Mertajam),100.4292000000,5.3675500000
3864,Petrol_station,Shell Jalan Tun Razak Kuching,110.3803700000,1.5452330000
14116,Hotel,"Tune Hotel - Danga Bay, Johor",103.7170740000,1.4850370000
327,Petrol_station,PETRONAS - Subang Airport,101.5658810000,3.1169790000
15116,Cafe,Light Street Cafe,100.3395260000,5.4212290000
7175,Convenience_store,Giant @ Jalan BBN 3/1,101.7925670000,2.8178320000
8887,Bank,Bank Islam @ Miri,113.9859770000,4.3889990000
2281,Celcom,Celcom,103.1283990000,5.3102680000
4004,Petrol_station,Petron,100.3154030000,5.3940000000
15037,Cafe,Six 55 Caf,103.1425360000,5.3365500000
12372,Restaurant,Restoran Yati Ayam Percik Prima Saujana,101.8039430000,3.0085050000
4056,Petrol_station,Petron Ipoh Garden,101.1047870000,4.6125580000
3472,Petrol_station,Shell,116.1007930000,5.9114410000
13080,Hotel,City Homestay Ipoh,101.1101570000,4.5605770000
9959,Bank,Maybank Jalan Sultan Idris Shah,101.0858360000,4.5965300000
3950,Petrol_station,Petron Taman Goodview,117.9264360000,4.2509180000
5403,Convenience_store,D-lima Kubang Kerian,102.2747800000,6.0928630000
11678,Restaurant,Restoran Kari Kepala Ikan SG,101.6989660000,3.2380210000
1910,Maxis,Maxis @ Fonpoint Enterprise,102.1491560000,5.8078140000
603,Petrol_station,Petronas Jalan Raja Syed Alwi,100.1984330000,6.4181710000
4284,Petrol_station,Petron,101.6075600000,3.1946600000
16888,Pet_store,Siang Teck Flower Horn Aquarium,102.2533570000,2.1951720000
1745,Digi,Digi Telecommunications Sdn Bhd,101.6603890000,3.1760430000
14766,Hotel,Loong Fatt Hotel,101.2922500000,4.1142250000
5985,Convenience_store,"7-eleven @ Segamat Baru, Segamat",102.8529200000,2.4937310000
9965,Bank,Bank Rakyat Limbang,115.0105040000,4.7542970000
3301,Petrol_station,Shell Taman Sri Putri,103.6572940000,1.5446210000
1802,Digi,Comm Centre Sales & Services (Digi),101.6159260000,3.0247690000
16691,Pet_store,Happy Tails Petz,101.5855324000,3.0478282000
11842,Restaurant,T.G.I. Friday's,101.6115250000,3.1585420000
6216,Convenience_store,7-11 Taman Sri Pulai,103.6190050000,1.5658270000
737,Petrol_station,Petronas,102.9544700000,1.9222900000
1453,Petrol_station,PETRONAS - Cheng,102.2290440000,2.2574800000
9632,Bank,Maybank @ Gemas,102.6110990000,2.5803910000
10762,Restaurant,Hot Wok Nyonya Local Cuisine,100.3268580000,5.4195600000
7198,Convenience_store,Giant @ Jalan Loke Yew,101.7118640000,3.1292540000
14921,Hotel,Hotel Sandakan,118.1176860000,5.8408680000
7244,Convenience_store,Giant Supermarket Miri,113.9934640000,4.3969650000
418,Petrol_station,Petronas Rantau Panjang,101.9789500000,6.0189710000
8496,Mall,Aeon Big,101.5915700000,3.1591000000
12389,Restaurant,"Kong Ming Restaurant, Seremban",101.9364250000,2.7275290000
14740,Hotel,Golden Leaf Hotel,103.7190490000,1.4835160000
13998,Hotel,Hotel Kheng Hai,102.3478040000,3.4856270000
6147,Convenience_store,7-11 Taman Bahagia,102.4100200000,3.4510730000
14207,Hotel,Budget Beach Resort,100.5460590000,4.2318360000
4806,Petrol_station,Caltex Lian Hin Service Station,103.7460290000,1.4872290000
8873,Bank,Ambank,100.4453850000,5.3650080000
7024,Convenience_store,Econsave @ Kota Masai,103.9116370000,1.4921100000
14423,Hotel,Hotel Hoover & T House,101.0216850000,4.0133690000
383,Petrol_station,Petronas Mukim Paloh,103.1009750000,5.3090900000
2419,Celcom,Celcom (M) Bhd.,100.1870860000,6.4333000000
5227,Convenience_store,KIP Mart Senawang,102.0024180000,2.7128830000
11354,Restaurant,Noodle Station East Coast Mall,103.3259660000,3.8181910000
12555,Restaurant,Midori Restaurant,101.7064590000,2.9691900000
14483,Hotel,Hotel UiTM Dungun,103.4416190000,4.7079530000
7785,Pharmacy,Guardian Mission Road,111.8303790000,2.2872580000
10794,Restaurant,Madli's Satay & Food Corner,113.9896560000,4.4002420000
16643,Stadium,Stadium Bola Keranjang Tertutup,110.5682560000,1.1649390000
5310,Convenience_store,"7-eleven @ Jalan Sultan Ismail, Kuala Terengganug",103.1440200000,5.3284130000
17161,Pet_store,T&T Pet Shop,100.2864240000,5.3265240000
13146,Hotel,Pekan Changlun 2 Homestay,100.4313730000,6.4358000000
2910,Petrol_station,Shell Kubang Kerian,102.2778980000,6.0801600000
7861,Pharmacy,Guardian,103.7597000000,1.4885100000
12983,Hotel,So Hotel,100.3203680000,5.4155950000
12072,Restaurant,Mizumi Japanese Restaurant,99.6715960000,6.3703810000
10992,Restaurant,Taman Selera Muhibah,111.8460150000,2.3105670000
8276,Electronics_store,Senheng Nusa Bestari Skudai,103.6556080000,1.4962240000
14074,Hotel,One Avenue Hotel,101.6142680000,3.1390240000
6396,Convenience_store,Ophir Mini Market,102.6130100000,2.3070980000
7736,Pharmacy,Guardian,101.1504700000,4.6223200000
2049,Maxis,Maxis & Utama Mobileworld,103.6607880000,1.5415110000
11331,Restaurant,Firdaus Nasi Arab & Nasi Ayam Restaurant,103.3315090000,3.8192320000
10069,Bank,Bank Pertanian Malaysia Berhad @ Jalan Pandak Mayah 6,99.8505670000,6.3215870000
3512,Petrol_station,Shell Karamunsing,116.0752190000,5.9694020000
8557,Mall,The Store,102.2314700000,2.4698590000
859,Petrol_station,Petron Parit Yaani,103.0284880000,1.9577140000
2436,Celcom,Celcom Blue Cube Outlet,111.8270710000,2.2933120000
1986,Maxis,Maxis Centre,101.0957570000,4.5993290000
11669,Restaurant,Restaurant Al-Nafisah,118.6089940000,4.4782620000
12625,Restaurant,Topspot Food Court,110.3521240000,1.5562470000
16698,Pet_store,Pomsters,101.6738289000,3.0865270000
4280,Petrol_station,Petron,101.5664460000,3.2089920000
9449,Bank,Bank Simpanan Nasional @ Al-Muktafibillah Shah,103.2098810000,4.6187080000
4910,Petrol_station,Caltex Bukit Besi,103.1963100000,4.7513590000
7615,Pharmacy,Guardian,101.7094900000,3.0285100000
1881,Maxis,Maxis Centre Maju Junction,101.6961170000,3.1596540000
784,Petrol_station,PETRONAS - Felda Moakil,103.0166790000,2.3949810000
9711,Bank,Maybank,101.0218190000,4.0242810000
5077,Petrol_station,Bhpetrol,103.8884450000,1.7191590000
10993,Restaurant,suriya indian food,111.8400410000,2.3100330000
5929,Convenience_store,Kedai Serbaneka 7 Days,103.3727570000,3.9613940000
4549,Petrol_station,Caltex Machang,102.2213530000,5.7634150000
8501,Mall,Aeon Big Bangsar,101.6676610000,3.1107500000
7030,Convenience_store,Econsave Cash & Carry Sdn. Bhd.,103.8144430000,1.5615820000
8163,Electronics_store,Senheng Selayang Mall,101.6444980000,3.2365390000
16777,Pet_store,Leanson Tractors (B'Worth) Sdn Bhd,100.3823194000,5.4021090000
12929,Hotel,Cititel Penang,100.3331190000,5.4209260000
8676,Bank,Rhb Bank Business Ctr Tawau,117.8916740000,4.2468770000
3933,Petrol_station,Petron,101.6186210000,3.0411030000
8754,Bank,AFFIN ISLAMIC Kuala Terengganu Branch,103.1363190000,5.3299100000
3254,Petrol_station,Shell Malaysia (Jofiveoil Retailing Sdn. Bhd.),103.3044510000,2.0196340000
6875,Convenience_store,"99Speedmart @ PJ, Sec 17",101.6353010000,3.1221360000
6278,Convenience_store,"7-eleven @ Taman Mentiga Jaya Peramu, Pekan",103.3819040000,3.5497030000
15414,Cafe,Tutti Frutti,102.9494550000,1.8637340000
12110,Restaurant,Chok Dee,102.9409320000,1.8587230000
2969,Petrol_station,Shell,100.4783750000,5.8149930000
17225,Pet_store,PETKNODE,101.5924000000,3.1949990000
71,Golf,Port Klang Golf Resort,101.3616220000,3.0100940000
13439,Hotel,Warisan Indah Inn ,113.0402610000,3.1851010000
9200,Bank,Bank Islam @ Batu Pahat,103.3088570000,2.0209730000
11332,Restaurant,Kfc Palm Beach Teluk Cempedak,103.3715970000,3.8120950000
9793,Bank,Bank Rakyat Jengka,102.5472720000,3.7678240000
732,Petrol_station,Petronas @ Bukit Baru 1,102.2755370000,2.2227790000
11787,Restaurant,DragonHome Mentakab ,102.3497430000,3.4835260000
8621,Bank,Public Bank,101.7005700000,3.0928700000
250,Star LRT,Stesen Star Lrt Pudu (s 09),101.7122510000,3.1347550000
8918,Bank,Bank Islam Automobile Financing Center Miri,113.9892200000,4.3996500000
7856,Pharmacy,Guardian,103.6291700000,1.5423400000
9815,Bank,Bank Muamalat @ Mentakab,102.3476120000,3.4871500000
11366,Restaurant,Hyatt Regency Kinabalu,116.0750840000,5.9851740000
7966,Pharmacy,Bangi Utama Shopping Complex (Guardian),101.7572800000,2.9530590000
9411,Bank,Malayan Banking Berhad,103.3503360000,3.8354900000
3132,Petrol_station,Shell Jalan Kg Nyabor,111.8294930000,2.2898590000
9452,Bank,Maybank,116.0889250000,5.9480000000
15680,Cafe,tfc coffee,115.9404620000,5.1207100000
10749,Restaurant,MAMA'S Nyonya Cuisine,100.3242040000,5.4186060000
5036,Petrol_station,Bhpetrol Jalan Kewajipan,101.5935100000,3.0650700000
4687,Petrol_station,Caltex Kubur Panjang,100.5539940000,6.0901590000
8406,Mall,AEON BIG Kota Damansara,101.5915320000,3.1590610000
9379,Bank,Affin Bank Kota Warisan,101.7056980000,2.8247480000
11934,Restaurant,The Olive @ Pahang,101.7930530000,3.4239390000
12067,Restaurant,Kfc Harbour Park,99.6858400000,6.3666110000
15811,Cafe,Cheong Cia Gong Pian,100.6958300000,4.2155360000
6243,Convenience_store,Bukit Sentosa Mini Market,101.5579310000,3.4026320000
6112,Convenience_store,7-11 Jalan Sungai 1/8 Taman Sri Gombak,101.6992400000,3.2380700000
7148,Convenience_store,Tesco Stores (Malaysia) Sdn. Bhd.,101.2692460000,3.3193280000
10555,Restaurant,Nasi Ayam Periuk Tanah,117.8888800000,4.2425910000
16701,Pet_store,M & M Pet Shop,101.7290606000,3.0965847000
11381,Restaurant,Al Fresco,116.0569950000,5.9664370000
8563,Mall,The Store,103.3226560000,2.0366220000
6330,Convenience_store,Kedai Runcit Kota Yong Peng,103.0742020000,2.0145460000
16138,Cafe,Red Oven Cafe,101.6376600000,3.1031660000
10616,Restaurant,Mcdonald's Kuala Terengganu,103.1292820000,5.3104450000
14387,Hotel,Batu Pahat Dragon Hotel,102.9294820000,1.8516600000
16271,Cafe,HOME CHEF RECIPE,101.6100730000,3.0720640000
11538,Restaurant,Rasamas,102.5666280000,2.0530790000
14954,Hotel,Asia Hotel,118.0727290000,5.8534000000
8301,Electronics_store,Senheng Electric (KL) Sdn. Bhd. (Kepong Showroom),101.6428260000,3.2133060000
7797,Pharmacy,Guardian,102.2214500000,2.4750000000
10155,Bank,Agrobank,103.4185240000,4.7617130000
8978,Bank,Affin Bank Ipoh Garden,101.1187760000,4.6060630000
1451,Petrol_station,petronas sg gurap,103.4058950000,1.4845330000
6385,Convenience_store,"7-eleven @ Jalan Utama, Bandar Baru Rompin",103.4862240000,2.7964340000
11781,Restaurant,Secret Recipie,102.4161440000,3.4477590000
5142,Petrol_station,Bhpetrol Jalan Sekolah Sekinchan,101.1004080000,3.5092870000
3326,Petrol_station,Shell Batu Pahat,102.9651100000,1.8640380000
8800,Bank,Bank Rakyat @ Kota Bharu,102.2740890000,6.1568970000
5189,Petrol_station,Bhpetrol Taman Serdang Raya,101.7049100000,3.0459500000
16680,Pet_store,The Paw Concert,101.5850019000,3.0478376000
8370,Electronics_store,senQ CityOne Megamall,110.3550800000,1.5206280000
3630,Petrol_station,Shell Giant Manjung,100.6700740000,4.2121750000
16676,Pet_store,Overseas Delight Sdn Bhd,101.7373970000,3.1468860000
11084,Restaurant,Pizza Hut,102.9274630000,1.8416410000
12913,Hotel,Hosaga Biz Hotel,102.2450980000,6.1297710000
6852,Convenience_store,PASARAYA BORONG SAKAN GAMBANG,103.1856060000,3.7443790000
10380,Bank,Ambank Bandar Mahkota Cheras,101.7893430000,3.0505070000
14133,Hotel,HereHotel.com @ Skudai,103.6674660000,1.5158850000
586,Petrol_station,Petronas @ Jalan Tun Abdul Razak,101.0711380000,4.6022990000
7706,Pharmacy,Guardian @ Carrefour Seberang Jaya,100.4097710000,5.3917130000
13529,Hotel,Brilliant Hotel,102.2390770000,2.1913680000
5934,Convenience_store,"7-eleven @ Jalan Kolombong Inanam, Kota Kinabalu",116.1205530000,5.9807140000
11754,Restaurant,Restoran Sri Termeloh,102.4095760000,3.4504370000
9866,Bank,OCBC,101.6210820000,3.1330340000
10335,Bank,Bank Rakyat @ Subang Perdana,101.5436780000,3.1500860000
10036,Bank,BSN Pekan,103.3924840000,3.4916690000
6551,Convenience_store,MyNEWS.com @ Giant Kinrara,101.6461280000,3.0503860000
15642,Cafe,Secret Recipe One Borneo,116.1287870000,6.0358180000
6933,Convenience_store,Econsave,101.7861410000,2.9987540000
736,Petrol_station,Petronas @ Air Hitam,103.2871240000,2.0137020000
1650,Digi,Digi Sdn. Bhd.,114.0119160000,4.4161590000
1878,Maxis,Maxis,101.4595110000,3.1082270000
3995,Petrol_station,Petron,100.3899820000,5.3828620000
11274,Restaurant,Restoran Dila Dina,118.3336430000,5.0289630000
7100,Convenience_store,"Tesco @ Bukit Mertajam, Pulau Pinang",100.4760180000,5.3160110000
13885,Hotel,Hotel BB Inn,101.3760750000,4.4698440000
8040,Pharmacy,Guardian,101.6864110000,3.2358120000
16401,Amusement_park,Children Theme Park,102.2099600000,2.4433100000
2286,Celcom,Celcom Blue Cube Outlet,103.1284150000,5.3102470000
13835,Hotel,Swiss-Garden Beach Resort Damai Laut,100.5916820000,4.2599120000
700,Petrol_station,Petronas Tanjung Agas,102.5596970000,2.0585440000
11091,Restaurant,McDonald's @ Batu Pahat,102.9460570000,1.8655440000
6083,Convenience_store,Pasar Mini Dua Kupang,100.6582650000,4.2024380000
14916,Hotel,The Ranee Boutique Suites,110.3458080000,1.5594590000
12627,Restaurant,Station 1 Cafe The Hills Shopping Mall,110.3513530000,1.5558260000
7995,Pharmacy,Guardian Karamunsing,116.0749990000,5.9708600000
3336,Petrol_station,Shell,113.0424660000,3.1945660000
641,Petrol_station,PETRONAS - Bandar Anak Bukit,100.3743530000,6.1841030000
9788,Bank,Affin Bank Berhad @ Mentakab,102.3507640000,3.4845500000
8901,Bank,Aminvestment Bank Bhd,114.0105880000,4.4167210000
11839,Restaurant,SohoKL - Solaris Mont Kiara,101.6603350000,3.1753640000
10002,Bank,Agrobank Jerantut,102.3615920000,3.9386840000
16936,Pet_store,Ban Seng Tropical Fish & Trading,103.4822560000,1.8162160000
16015,Cafe,Station 1 Cafe Taman Pertama,101.0557310000,4.6046060000
7481,Pharmacy,Watson Peters & Mohd Fuad,101.6930000000,3.1730200000
2023,Maxis,Maxis Centre Batu Pahat,102.9395320000,1.8661000000
6153,Convenience_store,7-Eleven,102.3956880000,3.4529180000
5374,Convenience_store,"7-eleven @ Jalan Kuala Krai, Kota Bharu",102.2384490000,6.0872430000
5646,Convenience_store,7-11 Jalan Melaka Raya 3,102.2532270000,2.1868110000
13142,Hotel,Homestay Kuala Perlis,100.1367530000,6.4053130000
15384,Cafe,Secret Recipe @ Lebuh Ayer Keroh,102.2907360000,2.2683840000
7817,Pharmacy,Guardian Pharmacy (M) Sdn. Bhd.,102.2327470000,2.2233240000
6189,Convenience_store,7-Eleven,101.6474220000,3.2102660000
3565,Petrol_station,Syarikat Lim & Lim Shell Service Station,102.8300180000,2.4979610000
5821,Convenience_store,Singgah Shops Online (Tijah & Son Enterprise),102.6840050000,2.4377350000
1504,Petrol_station,PETRONAS - Green Road (Excel),110.3326120000,1.5439390000
10618,Restaurant,Secret Recipe @ Jalan Sultan Zainal Abidin,103.1428240000,5.3379680000
6320,Convenience_store,First Act Marketing Sdn. Bhd.,101.1098910000,4.5628780000
16237,Cafe,Eelo Cafe,103.6382510000,1.5193210000
14232,Hotel,Gaya Inn,115.4064890000,4.8598020000
17138,Pet_store,Pets Dreamworld Grooming House,101.6941100000,3.2371200000
4829,Petrol_station,Caltex Banting,101.5042530000,2.8136490000
7510,Pharmacy,Watson @ Pekan Jitra 2,100.4182340000,6.2587710000
15012,Cafe,Secret Recipe,101.6296200000,3.1406300000
7018,Convenience_store,Econsave Cash & Carry Taman Putri Kulai Sdn Bhd,103.5764080000,1.6592240000
7414,Convenience_store,Giant Superstore @ Selayang Lama,101.6569840000,3.2492530000
607,Petrol_station,Petronas Kodiang,100.3074590000,6.3921000000
1302,Petrol_station,Petronas Kuala Lipis,102.0428940000,4.1724770000
15397,Cafe,New Heritage caf,102.2450780000,2.1979170000
3989,Petrol_station,Petron,100.2913760000,5.4649970000
17107,Pet_store,Pet Shop Boys,102.8398579000,2.5105180000
13985,Hotel,Hotel Jelai,102.4134080000,3.4464470000
15929,Cafe,The Art Cafe,101.6259070000,3.1229090000
6761,Convenience_store,My Mydin Sdn. Bhd.,101.5265110000,3.0449890000
3937,Petrol_station,Petron,101.7206820000,3.1569440000
1082,Petrol_station,PETRONAS - Jalan Buloh Kasap,102.7790940000,2.5465640000
10566,Restaurant,Ocean Area Seafood Restaurant,117.8924280000,4.2471540000
209,Mall,Agro Bazar Kepala Batas,100.4310140000,5.5152100000
15841,Cafe,S'fron Kozy Kafe,101.7171550000,3.2370440000
110,Mall,Lot 10,101.7124880000,3.1463330000
2293,Celcom,Celcom Point,102.2417880000,6.1174620000
1801,Digi,Digi Centre Taipan,101.5857400000,3.0491500000
1659,Digi,Digi Sdn. Bhd.,100.7346040000,4.8624900000
3063,Petrol_station,Shell,100.3935050000,6.1424120000
10024,Bank,AmBank,116.8519270000,6.8791680000
9409,Bank,Cimb,103.3283580000,3.8087920000
11093,Restaurant,Kfc Batu Pahat 3,102.9393420000,1.8653310000
16527,Stadium,Balik Pulau Sports Complex,100.2140730000,5.3396840000
15011,Cafe,SUKA,101.7088240000,3.1489310000
5392,Convenience_store,7-11 Jalan Pendek,102.2393800000,6.1280170000
2151,Maxis,Maxis Exclusive Partner Jalan Kapar,101.4484020000,3.0505230000
4967,Petrol_station,Bhpetrol SS12,101.5976100000,3.0738000000
9381,Bank,Atm - BSN & RHB Bank Ktm Seremban,101.9404050000,2.7189650000
977,Petrol_station,Petronas Mesra Mall,103.4483380000,4.4406970000
3372,Petrol_station,SHELL,101.7280920000,3.1213560000
14221,Hotel,Ombak Inn Chalet,100.5459740000,4.2313780000
2732,Airport,Labuan Airport,115.2495860000,5.2943610000
9618,Bank,Maybank,103.1936570000,2.1882900000
2887,Petrol_station,Shell,102.1993230000,6.1196580000
2232,Celcom,Celcom Axiata Berhad (Company No. 167469-A),101.6426640000,3.0996670000
7255,Convenience_store,Giant Commercial Apparel Sdn. Bhd.,101.0814810000,4.5784440000
8186,Electronics_store,Senheng Electric (M) Sdn. Bhd.,103.1448770000,5.3308610000
1981,Maxis,Maxis Exclusive Partner Menglembu,101.0450590000,4.5644100000
10862,Restaurant,Sushi Zento,101.1174770000,4.6192820000
12701,Hotel,The Royale Chulan Damansara,101.6087340000,3.1569600000
8451,Mall,Aeon Fantasy,101.0708500000,4.5458590000
10537,Restaurant,Euro Deli Shop,101.6269030000,3.1345740000
